"population","fertility","HIV","CO2","BMI_male","GDP","BMI_female","life","child_mortality"
34811059,2.73,0.1,3.32894466101863,24.5962,12314,129.9049,75.3,29.5
19842251,6.43,2,1.47435338785094,22.25083,7103,130.1247,58.3,192
40381860,2.24,0.5,4.78516998252535,27.5017,14646,118.8915,75.5,15.4
2975029,1.4,0.1,1.8041062172001,25.35542,7383,132.8108,72.5,20
21370348,1.96,0.1,18.0163132681972,27.56373,41312,117.3755,81.5,5.2
8331465,1.41,0.3,8.18316001754696,26.46741,43952,124.1394,80.4,4.6
8868713,1.99,0.1,5.10953829181389,25.65117,14365,128.6024,70.6,43.3
348587,1.89,3.1,3.13192132134112,27.24594,24373,124.3862,72.2,14.5
148252473,2.38,0.06,0.319161002018858,20.39742,2265,125.0307,68.4,55.9
277315,1.83,1.3,6.00827883508462,26.38439,16075,126.394,75.3,15.4
9526453,1.42,0.2,6.48817388016763,26.16443,14488,129.7968,70.1,7.2
10779155,1.82,0.2,9.79733671427737,26.75915,41641,121.8227,79.4,4.7
306165,2.91,2.4,1.36012592025719,27.02255,8293,120.9224,70.7,20.1
8973525,5.27,1.2,0.53753918351488,22.41835,1646,130.2723,63.2,116.3
694990,2.51,0.2,0.601210310020156,22.8218,5663,125.1258,67.6,48.1
9599916,3.48,0.2,1.43182915030318,24.43335,5066,122.4155,70.9,52
1967866,2.86,24.9,2.54720549151449,22.12984,13858,133.1307,61.2,63.8
194769696,1.9,0.45,2.02377283620826,25.78623,13906,124.8745,73.9,18.6
7513646,1.43,0.1,6.69013908249446,26.54286,15368,128.4721,73.2,13.7
14709011,6.04,1.2,0.109419170900456,21.27157,1358,130.6651,59.4,130.4
8821795,6.48,3.5,0.031388801289794,21.50291,723,134.1955,57.4,108.6
13933660,3.05,0.6,0.287547495737188,20.80496,2442,117.5528,66.2,51.5
19570418,5.17,5.3,0.29554163922618,23.68173,2571,127.2823,56.6,113.8
